id,model,var,table_id,nan_sum,nan_per,nmin,nmax,nmean,unit,shape,size
0,CMCC-ESM2,hfls,Amon,0,0.00,-9.250899,507.35052,67.462975,W m-2,"(192, 288)",55296
1,CMCC-ESM2,evspsbl,Amon,0,0.00,-0.0000036988804,0.00020285907,0.000026974398,kg m-2 s-1,"(192, 288)",55296
2,CMCC-ESM2,mrso,Lmon,0,0.00,0,1704.8691,276.99496,kg m-2,"(192, 288)",55296
3,CMCC-ESM2,pr,Amon,0,0.00,5.1866184E-10,0.00063678104,0.000028903843,kg m-2 s-1,"(192, 288)",55296
4,CMCC-ESM2,tas,Amon,0,0.00,227.12973,305.46814,277.15433,K,"(192, 288)",55296
5,IPSL-CM6A-LR,hfls,Amon,0,0.00,-5.994699,575.9024,63.205032,W m-2,"(143, 144)",20592
6,IPSL-CM6A-LR,evspsbl,Amon,0,0.00,-0.0000021301355,0.00023028726,0.000025222898,kg m-2 s-1,"(143, 144)",20592
7,IPSL-CM6A-LR,mrso,Lmon,14954,72.62,137.68707,843.792,488.47742,kg m-2,"(143, 144)",20592
8,IPSL-CM6A-LR,pr,Amon,0,0.00,0,0.0011225177,0.000027366956,kg m-2 s-1,"(143, 144)",20592
9,IPSL-CM6A-LR,tas,Amon,0,0.00,224.3276,305.1531,275.4302,K,"(143, 144)",20592
10,MIROC6,evspsbl,Eday,19722,60.19,-0.000053860538,0.00014952765,0.000010955419,kg m-2 s-1,"(128, 256)",32768
11,MIROC6,mrso,Lmon,19722,60.19,567.6075,6995.3325,4818.3447,kg m-2,"(128, 256)",32768
12,MIROC6,pr,Amon,0,0.00,1.8317908E-12,0.00047448595,0.00002920775,kg m-2 s-1,"(128, 256)",32768
13,MIROC6,tas,Amon,0,0.00,231.75185,311.34393,277.8621,K,"(128, 256)",32768
14,CESM2,hfls,Amon,34283,62.00,-8.201029,228.5219,18.684011,W m-2,"(192, 288)",55296
15,CESM2,evspsbl,Amon,34283,62.00,-0.000003356709,0.00009137221,0.000007424561,kg m-2 s-1,"(192, 288)",55296
16,CESM2,mrso,Lmon,40019,72.37,169.1559,3985.336,1622.6096,kg m-2,"(192, 288)",55296
17,CESM2,pr,Amon,34283,62.00,2.9226774E-14,0.0003897346,0.000017931017,kg m-2 s-1,"(192, 288)",55296
18,CESM2,tas,Amon,34283,62.00,231.06102,308.75552,266.58228,K,"(192, 288)",55296
19,CNRM-CM6-1,hfls,Amon,0,0.00,-7.252429,355.0722,66.306564,W m-2,"(128, 256)",32768
20,CNRM-CM6-1,evspsbl,Amon,0,0.00,-0.0000013929639,0.00014841094,0.000025021316,kg m-2 s-1,"(128, 256)",32768
21,CNRM-CM6-1,mrso,Lmon,19129,58.38,24.639847,7809.9795,2736.5754,kg m-2,"(128, 256)",32768
22,CNRM-CM6-1,pr,Amon,0,0.00,6.514841E-17,0.00040841734,0.000028228882,kg m-2 s-1,"(128, 256)",32768
23,CNRM-CM6-1,tas,Amon,0,0.00,228.05174,305.0179,277.47296,K,"(128, 256)",32768
24,MPI-ESM1-2-LR,hfls,Amon,0,0.00,-6.932129,334.63037,61.228935,W m-2,"(96, 192)",18432
25,MPI-ESM1-2-LR,evspsbl,Amon,0,0.00,-0.0000020555017,0.00016979738,0.000024233459,kg m-2 s-1,"(96, 192)",18432
26,MPI-ESM1-2-LR,mrso,Lmon,12210,66.24,0,3837.1897,410.2631,kg m-2,"(96, 192)",18432
27,MPI-ESM1-2-LR,pr,Amon,0,0.00,1.927338E-15,0.00036152813,0.000026654172,kg m-2 s-1,"(96, 192)",18432
28,MPI-ESM1-2-LR,tas,Amon,0,0.00,231.35683,306.51892,276.39444,K,"(96, 192)",18432
29,EC-Earth3,hfls,Amon,0,0.00,-6.609082,376.51154,64.69123,W m-2,"(256, 512)",131072
30,EC-Earth3,evspsbl,Amon,0,0.00,-0.00019664037,0.0000027876667,-0.000025595593,kg m-2 s-1,"(256, 512)",131072
31,EC-Earth3,mrso,Lmon,86916,66.31,-2.6951707E-23,2105.9885,653.6879,kg m-2,"(256, 512)",131072
32,EC-Earth3,pr,Amon,0,0.00,-2.1265424E-25,0.00052276783,0.000027494201,kg m-2 s-1,"(256, 512)",131072
33,EC-Earth3,tas,Amon,0,0.00,229.31126,306.7214,276.481,K,"(256, 512)",131072
