,model,var,nan_sum,nan_per,nmin,nmax,nmean,unit,shape,size
0,CMCC-ESM2,hfls,0,0.0,-24.488579,443.09857,68.16173,W m-2,"(90, 180)",16200
1,IPSL-CM6A-LR,hfls,0,0.0,-2.523401,350.1247,64.8354,W m-2,"(90, 180)",16200
2,CESM2,hfls,10549,65.11728395061729,-5.5133657,151.84373,18.081493,W m-2,"(90, 180)",16200
3,CNRM-CM6-1,hfls,0,0.0,-5.3197303,401.8636,62.83568,W m-2,"(90, 180)",16200
4,MPI-ESM1-2-LR,hfls,0,0.0,-4.458266,458.4042,60.21958,W m-2,"(90, 180)",16200
5,EC-Earth3,hfls,0,0.0,-7.937064,469.75986,63.69955,W m-2,"(90, 180)",16200
6,CMCC-ESM2,evspsbl,0,0.0,-9.791515e-06,0.00017716856,2.7253789e-05,kg m-2 s-1,"(90, 180)",16200
7,IPSL-CM6A-LR,evspsbl,0,0.0,-8.959862e-07,0.0001400045,2.5880656e-05,kg m-2 s-1,"(90, 180)",16200
8,MIROC6,evspsbl,10402,64.20987654320987,-5.067207e-06,8.447787e-05,9.867426e-06,kg m-2 s-1,"(90, 180)",16200
9,CESM2,evspsbl,10549,65.11728395061729,-2.2044644e-06,6.071321e-05,7.183911e-06,kg m-2 s-1,"(90, 180)",16200
10,CNRM-CM6-1,evspsbl,0,0.0,-2.1272115e-06,0.00016069402,2.5084066e-05,kg m-2 s-1,"(90, 180)",16200
11,MPI-ESM1-2-LR,evspsbl,0,0.0,-1.5726995e-06,0.00018330327,2.4061996e-05,kg m-2 s-1,"(90, 180)",16200
12,EC-Earth3,evspsbl,0,0.0,-0.0001878438,2.7999029e-06,-2.5447762e-05,kg m-2 s-1,"(90, 180)",16200
13,CMCC-ESM2,mrso,12377,76.40123456790123,178.60898,1568.1958,1032.5161,kg m-2,"(90, 180)",16200
14,IPSL-CM6A-LR,mrso,12417,76.64814814814814,147.42545,819.15137,481.20444,kg m-2,"(90, 180)",16200
15,MIROC6,mrso,10402,64.20987654320987,603.1846,6505.911,4777.214,kg m-2,"(90, 180)",16200
16,CESM2,mrso,12309,75.98148148148148,189.96225,3915.9329,1625.9014,kg m-2,"(90, 180)",16200
17,CNRM-CM6-1,mrso,10153,62.67283950617284,34.074944,6879.513,2757.2795,kg m-2,"(90, 180)",16200
18,MPI-ESM1-2-LR,mrso,11538,71.22222222222221,0.0,3334.1492,405.72534,kg m-2,"(90, 180)",16200
19,EC-Earth3,mrso,11111,68.58641975308643,-8.2666855e-23,1978.4203,645.7108,kg m-2,"(90, 180)",16200
20,CMCC-ESM2,pr,0,0.0,3.5985878e-10,0.0004399005,2.9230983e-05,kg m-2 s-1,"(90, 180)",16200
21,IPSL-CM6A-LR,pr,0,0.0,0.0,0.00044624796,2.7880242e-05,kg m-2 s-1,"(90, 180)",16200
22,MIROC6,pr,0,0.0,2.3154757e-12,0.00054774166,2.8978104e-05,kg m-2 s-1,"(90, 180)",16200
23,CESM2,pr,10549,65.11728395061729,1.1596583e-20,0.0003721519,1.8596935e-05,kg m-2 s-1,"(90, 180)",16200
24,CNRM-CM6-1,pr,0,0.0,1.9270402e-13,0.0003580634,2.6900281e-05,kg m-2 s-1,"(90, 180)",16200
25,MPI-ESM1-2-LR,pr,0,0.0,6.239759e-16,0.00034609844,2.6260852e-05,kg m-2 s-1,"(90, 180)",16200
26,EC-Earth3,pr,0,0.0,-2.2615545e-25,0.0002933754,2.7236792e-05,kg m-2 s-1,"(90, 180)",16200
27,CMCC-ESM2,tas,0,0.0,229.29553,303.75223,277.29468,K,"(90, 180)",16200
28,IPSL-CM6A-LR,tas,0,0.0,224.88358,303.9702,275.23953,K,"(90, 180)",16200
29,MIROC6,tas,0,0.0,235.9298,310.2338,278.50708,K,"(90, 180)",16200
30,CESM2,tas,10549,65.11728395061729,231.18878,306.80447,265.87955,K,"(90, 180)",16200
31,CNRM-CM6-1,tas,0,0.0,231.45491,306.09235,276.4599,K,"(90, 180)",16200
32,MPI-ESM1-2-LR,tas,0,0.0,230.93997,310.08157,276.58313,K,"(90, 180)",16200
33,EC-Earth3,tas,0,0.0,232.8375,305.53027,276.92148,K,"(90, 180)",16200
